date,customer_id,product_id,quantity,amount,payment_method
2025-12-03,122,33,10,9011.0,Bank Transfer
2025-11-19,420,54,5,1630.8,Bank Transfer
2024-08-15,12,11,2,1951.78,Cash
2024-07-02,179,54,1,506.6,Credit Card
2024-02-09,373,72,8,6954.48,Cash
2025-08-15,260,55,4,3666.16,Credit Card
2024-05-19,109,1,5,4058.5,PayPal
2024-01-15,415,72,2,136.34,Cash
2024-08-22,450,17,10,7693.9,Bank Transfer
2024-02-16,474,76,9,6871.14,PayPal
2024-06-17,236,20,8,5049.44,Cash
2025-01-08,276,58,4,3435.8,Cash
2024-10-07,135,41,9,3315.15,Bank Transfer
2024-11-09,91,33,8,1378.24,Bank Transfer
2025-04-19,383,23,7,1709.61,Credit Card
2024-08-18,163,47,8,6142.8,Credit Card
2024-07-11,422,51,3,1043.31,Cash
2025-09-13,275,100,7,4604.39,Credit Card
2025-03-31,164,65,10,9043.2,Credit Card
2024-09-01,157,87,1,650.74,Cash
2024-11-16,194,23,4,2666.36,PayPal
2024-11-15,272,99,5,4062.55,Credit Card
2024-06-12,270,7,2,282.88,Bank Transfer
2024-03-26,350,26,10,5785.6,PayPal
2024-07-09,214,22,6,1707.0,Cash
2024-11-19,18,81,1,954.76,Cash
2024-05-09,185,89,5,2476.6,Bank Transfer
2024-03-08,469,90,9,1133.55,Cash
2024-05-23,93,55,4,2627.24,PayPal
2025-07-31,336,15,7,1316.0,Bank Transfer
2025-08-31,379,58,5,1901.1,PayPal
2024-07-14,390,28,8,6486.24,Credit Card
2025-09-13,32,62,1,602.22,Credit Card
2025-08-04,453,86,5,3445.05,Credit Card
2025-09-04,31,67,2,1849.24,Credit Card
2025-10-07,36,14,3,1918.98,Cash
2023-12-20,127,50,9,6816.96,Cash
2023-12-29,47,1,10,1742.5,PayPal
2025-01-28,23,9,1,855.27,Cash
2025-03-09,47,36,10,5435.2,PayPal
2025-05-03,376,18,9,1196.82,PayPal
2025-08-15,27,74,4,3936.36,Credit Card
2025-05-14,33,88,8,4512.32,Cash
2025-03-27,388,98,2,223.0,Credit Card
2025-12-05,38,27,6,3273.12,PayPal
2024-01-16,164,5,7,6589.8,PayPal
2024-09-23,390,27,1,376.1,Bank Transfer
2025-03-27,105,96,5,1574.85,Credit Card
2025-03-22,115,27,10,6233.6,Credit Card
2024-01-10,63,6,1,385.9,Credit Card
2024-05-26,67,6,4,2556.6,PayPal
2025-10-02,466,18,4,2855.24,Cash
2025-10-19,341,22,6,5337.24,PayPal
2025-08-08,14,15,5,4249.75,Bank Transfer
2025-09-02,457,27,6,380.58,Credit Card
2024-04-25,10,60,3,1857.48,PayPal
2024-01-29,403,18,2,1264.28,Cash
2023-12-18,488,85,9,8848.62,Credit Card
2025-02-23,3,46,10,1588.2,Credit Card
2024-04-14,134,98,5,4903.95,PayPal
2024-02-13,363,100,8,285.2,PayPal
2024-09-23,495,70,4,3026.6,Cash
2024-06-06,221,89,6,891.36,PayPal
2024-04-23,47,91,8,6144.56,Cash
2025-03-01,485,39,2,278.42,Cash
2024-05-15,167,22,10,8451.0,Credit Card
2024-07-25,168,54,9,8402.31,PayPal
2025-07-02,184,48,7,5479.95,Cash
2024-11-11,440,49,4,1415.24,Credit Card
2024-06-05,304,56,4,2588.52,PayPal
2024-05-01,379,19,7,2424.17,Cash
2023-12-23,261,78,4,873.04,Credit Card
2025-01-07,69,12,5,1578.7,Credit Card
2025-09-16,107,30,1,700.62,PayPal
2025-03-20,162,49,6,4995.9,Cash
2024-02-23,173,80,10,3205.3,Credit Card
2025-01-18,486,29,4,364.4,Credit Card
2024-01-22,109,18,8,2918.88,Cash
2024-07-31,42,36,1,342.59,PayPal
2024-04-25,18,79,4,3427.0,Bank Transfer
2024-07-14,232,96,10,8736.1,Cash
2025-11-08,308,41,1,841.6,PayPal
2025-03-04,225,36,5,3425.25,Cash
2025-11-15,150,84,6,1384.08,PayPal
2025-11-16,343,83,8,3777.12,Bank Transfer
2024-05-12,13,88,4,2546.6,Bank Transfer
2025-03-11,478,4,8,4987.52,Credit Card
2024-09-13,410,84,4,193.64,Bank Transfer
2024-10-16,472,78,2,405.78,Cash
2025-05-15,217,56,4,3561.16,PayPal
2025-03-24,115,22,4,1069.84,PayPal
2024-07-25,99,25,5,4028.1,PayPal
2024-12-12,183,53,4,3655.0,Bank Transfer
2024-12-18,428,15,4,3190.04,Bank Transfer
2024-03-10,455,63,7,3747.66,Bank Transfer
2025-06-14,12,66,2,1241.08,PayPal
2024-01-22,52,59,2,537.52,Credit Card
2024-10-15,347,31,7,3951.71,PayPal
2024-04-02,451,60,4,974.96,PayPal
2023-12-29,90,27,3,976.89,Bank Transfer
2024-05-18,437,51,1,202.95,PayPal
2025-05-16,295,73,5,3626.0,Cash
2025-02-09,393,72,2,1002.34,Cash
2024-10-10,392,45,6,2574.24,Cash
2025-04-28,217,48,10,1665.5,Bank Transfer
2024-03-19,433,48,8,6154.88,PayPal
2024-04-22,413,84,1,912.19,Bank Transfer
2025-09-02,285,73,9,1469.16,Cash
2024-10-26,33,91,10,4487.9,PayPal
2024-09-29,498,58,1,638.02,Cash
2024-09-10,115,78,4,47.88,Bank Transfer
2025-10-10,465,84,6,5332.56,PayPal
2025-03-19,311,45,9,1459.26,PayPal
2024-02-11,455,19,1,259.08,Credit Card
2025-02-28,410,31,10,5540.6,Credit Card
2025-08-06,271,88,7,1105.58,Bank Transfer
2025-07-25,72,40,1,408.82,PayPal
2024-09-27,294,78,8,4340.24,PayPal
2024-07-05,466,10,6,3508.26,Credit Card
2025-06-06,370,37,7,6689.34,PayPal
2025-06-06,406,25,1,759.27,Bank Transfer
2024-01-06,331,22,1,629.41,PayPal
2024-07-17,151,72,1,376.15,Cash
2025-12-03,240,39,2,393.76,Bank Transfer
2024-09-19,393,95,8,6829.76,Credit Card
2025-07-08,219,1,8,5633.36,Bank Transfer
2025-07-25,35,25,5,363.85,Credit Card
2025-10-03,112,84,6,4249.62,Cash
2024-07-08,117,56,3,1701.99,Bank Transfer
2024-03-30,294,48,6,2598.6,PayPal
2025-07-03,164,81,3,33.72,PayPal
2025-03-06,442,33,4,3847.24,Credit Card
2025-02-27,371,22,1,400.83,Bank Transfer
2024-04-08,101,74,8,7445.2,Cash
2025-07-05,72,96,3,304.23,PayPal
2024-03-09,340,13,5,4323.0,Bank Transfer
2025-10-26,368,44,7,2838.43,Bank Transfer
2025-09-05,219,22,3,507.54,Cash
2024-12-17,214,3,9,7681.95,PayPal
2024-05-10,311,18,4,3152.12,Bank Transfer
2024-02-15,285,15,5,857.9,Cash
2024-03-22,493,88,9,1907.73,PayPal
2025-07-04,472,40,10,2932.0,Cash
2025-06-21,24,54,4,2867.08,PayPal
2025-09-14,347,89,1,424.58,Cash
2025-06-21,217,19,10,1959.3,Cash
2025-01-05,344,8,2,1574.42,Credit Card
2024-11-15,273,95,7,2900.87,Bank Transfer
2024-12-28,174,62,1,962.79,PayPal
2023-12-31,429,6,5,1422.7,Cash
2025-06-11,415,100,2,905.66,Cash
2024-11-05,452,15,1,873.48,Bank Transfer
2024-05-12,327,6,8,666.08,PayPal
2025-06-20,164,99,6,1143.18,Credit Card
2024-04-09,286,78,7,391.23,Bank Transfer
2025-01-19,415,48,7,1225.84,Credit Card
2024-07-08,465,90,5,1591.15,Credit Card
2024-09-26,241,70,2,659.7,Bank Transfer
2025-01-17,475,10,6,1104.72,Cash
2024-04-17,7,35,4,810.08,PayPal
2025-10-07,90,48,3,690.6,Cash
2025-12-04,427,95,3,815.46,Credit Card
2024-08-16,377,87,10,2217.4,Bank Transfer
2024-04-14,298,6,5,1818.7,PayPal
2024-03-21,337,83,1,263.11,Credit Card
2025-08-30,410,37,9,849.6,Cash
2025-09-26,94,79,7,2291.73,Credit Card
2024-02-22,429,59,9,7634.07,Credit Card
2025-06-02,177,1,8,4158.0,Cash
2024-11-27,139,12,6,2678.34,Cash
2024-05-24,309,5,5,3991.45,Credit Card
2024-10-14,115,88,1,752.48,Credit Card
2024-04-19,48,9,7,3167.5,Cash
2025-05-29,478,42,3,357.33,PayPal
2025-05-29,449,96,1,358.77,Bank Transfer
2025-09-22,316,87,2,1629.28,PayPal
2025-07-18,211,91,2,498.02,PayPal
2024-07-09,435,3,8,7282.8,Credit Card
2025-09-16,23,74,6,2447.94,Credit Card
2025-03-23,113,33,6,2779.38,PayPal
2025-05-19,295,22,3,2460.51,PayPal
2025-04-19,179,54,4,3598.92,Cash
2024-04-13,33,64,8,3887.76,PayPal
2025-03-12,480,46,8,7009.68,PayPal
2024-06-20,110,48,5,4965.95,Credit Card
2025-04-04,238,56,5,4136.5,Bank Transfer
2024-09-24,494,72,5,2975.25,Credit Card
2025-08-19,27,39,6,3084.0,Cash
2025-11-07,428,6,5,2599.45,Bank Transfer
2025-05-16,313,59,3,2633.64,Cash
2025-06-04,362,95,5,229.95,Cash
2025-02-19,438,28,4,2146.24,Cash
2024-11-10,84,20,2,428.38,Bank Transfer
2024-02-29,301,49,8,2130.8,Credit Card
2025-01-05,147,83,8,283.92,PayPal
2024-05-13,120,61,2,1050.96,Cash
2025-10-02,86,56,5,2702.2,PayPal
2024-12-14,92,19,8,5354.96,Credit Card
2024-06-11,468,52,4,1998.4,Cash
2025-01-21,320,85,4,282.04,Credit Card
2025-01-01,338,93,2,1152.16,Bank Transfer
2025-05-13,438,71,2,1433.86,Bank Transfer
2024-08-03,235,89,2,1054.48,Cash
2024-05-01,209,50,1,19.09,Credit Card
2025-08-06,108,36,9,5326.83,Bank Transfer
2025-05-09,123,10,7,4784.78,Cash
2025-06-19,130,87,7,4517.24,PayPal
2024-01-28,391,56,3,2830.23,Credit Card
2025-04-23,177,36,10,4664.3,PayPal
2024-04-24,209,86,10,4122.5,PayPal
2024-01-05,370,57,5,1473.65,Cash
2025-08-02,295,56,10,5984.4,PayPal
2024-05-02,84,82,4,3497.24,PayPal
2025-06-05,58,95,7,924.35,Credit Card
2025-01-31,256,13,3,2711.07,Credit Card
2025-09-30,241,48,4,581.2,PayPal
2024-01-02,259,55,2,343.44,Cash
2024-01-17,288,32,3,2509.08,Bank Transfer
2025-02-18,173,55,7,569.59,Credit Card
2024-08-31,498,39,10,5176.6,PayPal
2024-08-04,277,43,3,1513.65,Bank Transfer
2025-09-09,7,23,7,831.6,PayPal
2024-09-18,142,18,6,137.4,Cash
2024-02-18,497,82,1,574.65,Credit Card
2024-10-07,175,68,5,4380.45,Bank Transfer
2024-06-16,296,55,10,9828.2,PayPal
2024-12-16,453,41,4,1415.72,PayPal
2024-04-25,220,84,6,1127.94,Cash
2025-09-21,466,10,10,4280.0,PayPal
2025-04-05,297,54,5,460.2,Bank Transfer
2024-02-25,414,43,2,629.5,PayPal
2024-08-04,106,23,4,3493.2,Cash
2024-05-04,431,91,5,1843.05,Credit Card
2024-05-21,237,16,3,385.62,PayPal
2024-11-21,466,24,8,676.48,PayPal
2025-08-05,277,30,5,1235.0,Cash
